Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000002765	ENSVPAG00000002765.1	ENSVPAT00000002765.1
ENSVPAG00000005009	ENSVPAG00000005009.1	ENSVPAT00000005007.1
ENSVPAG00000002316	ENSVPAG00000002316.1	ENSVPAT00000002321.1
ENSVPAG00000004368	ENSVPAG00000004368.1	ENSVPAT00000004368.1
ENSVPAG00000010768	ENSVPAG00000010768.1	ENSVPAT00000010767.1
ENSVPAG00000005010	ENSVPAG00000005010.1	ENSVPAT00000005008.1
ENSVPAG00000010502	ENSVPAG00000010502.1	ENSVPAT00000010501.1
ENSVPAG00000005639	ENSVPAG00000005639.1	ENSVPAT00000005640.1
ENSVPAG00000002638	ENSVPAG00000002638.1	ENSVPAT00000002638.1
ENSVPAG00000004370	ENSVPAG00000004370.1	ENSVPAT00000004371.1
ENSVPAG00000005012	ENSVPAG00000005012.1	ENSVPAT00000005011.1
ENSVPAG00000005641	ENSVPAG00000005641.1	ENSVPAT00000005642.1
ENSVPAG00000008166	ENSVPAG00000008166.1	ENSVPAT00000008165.1
ENSVPAG00000005015	ENSVPAG00000005015.1	ENSVPAT00000005013.1
ENSVPAG00000000215	ENSVPAG00000000215.1	ENSVPAT00000000215.1
ENSVPAG00000002639	ENSVPAG00000002639.1	ENSVPAT00000002639.1
ENSVPAG00000004372	ENSVPAG00000004372.1	ENSVPAT00000004372.1
ENSVPAG00000002322	ENSVPAG00000002322.1	ENSVPAT00000002322.1
ENSVPAG00000003222	ENSVPAG00000003222.1	ENSVPAT00000003222.1
ENSVPAG00000004375	ENSVPAG00000004375.1	ENSVPAT00000004375.1
ENSVPAG00000000216	ENSVPAG00000000216.1	ENSVPAT00000000216.1
ENSVPAG00000002745	ENSVPAG00000002745.1	ENSVPAT00000002745.1
ENSVPAG00000002640	ENSVPAG00000002640.1	ENSVPAT00000002640.1
ENSVPAG00000011499	ENSVPAG00000011499.1	ENSVPAT00000011499.1
ENSVPAG00000000096	ENSVPAG00000000096.1	ENSVPAT00000000096.1
ENSVPAG00000002502	ENSVPAG00000002502.1	ENSVPAT00000002502.1
ENSVPAG00000003969	ENSVPAG00000003969.1	ENSVPAT00000003969.1
ENSVPAG00000003970	ENSVPAG00000003970.1	ENSVPAT00000003970.1
ENSVPAG00000003971	ENSVPAG00000003971.1	ENSVPAT00000003971.1
ENSVPAG00000003223	ENSVPAG00000003223.1	ENSVPAT00000003223.1
ENSVPAG00000000232	ENSVPAG00000000232.1	ENSVPAT00000000232.1
ENSVPAG00000003972	ENSVPAG00000003972.1	ENSVPAT00000003972.1
ENSVPAG00000000102	ENSVPAG00000000102.1	ENSVPAT00000000104.1
ENSVPAG00000004936	ENSVPAG00000004936.1	ENSVPAT00000004936.1
ENSVPAG00000006712	ENSVPAG00000006712.1	ENSVPAT00000006711.1
ENSVPAG00000004376	ENSVPAG00000004376.1	ENSVPAT00000004379.1
ENSVPAG00000002520	ENSVPAG00000002520.1	ENSVPAT00000002519.1
ENSVPAG00000004937	ENSVPAG00000004937.1	ENSVPAT00000004937.1
ENSVPAG00000006714	ENSVPAG00000006714.1	ENSVPAT00000006715.1
ENSVPAG00000009884	ENSVPAG00000009884.1	ENSVPAT00000009885.1
ENSVPAG00000008987	ENSVPAG00000008987.1	ENSVPAT00000008988.1
ENSVPAG00000006432	ENSVPAG00000006432.1	ENSVPAT00000006433.1
ENSVPAG00000001155	ENSVPAG00000001155.1	ENSVPAT00000001156.1
ENSVPAG00000006719	ENSVPAG00000006719.1	ENSVPAT00000006718.1
ENSVPAG00000001784	ENSVPAG00000001784.1	ENSVPAT00000001784.1
ENSVPAG00000000242	ENSVPAG00000000242.1	ENSVPAT00000000242.1
ENSVPAG00000006721	ENSVPAG00000006721.1	ENSVPAT00000006720.1
ENSVPAG00000007603	ENSVPAG00000007603.1	ENSVPAT00000007603.1
ENSVPAG00000006723	ENSVPAG00000006723.1	ENSVPAT00000006723.1
ENSVPAG00000004380	ENSVPAG00000004380.1	ENSVPAT00000004380.1
ENSVPAG00000006725	ENSVPAG00000006725.1	ENSVPAT00000006725.1
ENSVPAG00000006435	ENSVPAG00000006435.1	ENSVPAT00000006434.1
ENSVPAG00000003323	ENSVPAG00000003323.1	ENSVPAT00000003322.1
ENSVPAG00000007559	ENSVPAG00000007559.1	ENSVPAT00000007560.1
ENSVPAG00000004029	ENSVPAG00000004029.1	ENSVPAT00000004029.1
ENSVPAG00000004381	ENSVPAG00000004381.1	ENSVPAT00000004381.1
ENSVPAG00000008989	ENSVPAG00000008989.1	ENSVPAT00000008989.1
ENSVPAG00000000079	ENSVPAG00000000079.1	ENSVPAT00000000080.1
ENSVPAG00000010232	ENSVPAG00000010232.1	ENSVPAT00000010232.1
ENSVPAG00000009477	ENSVPAG00000009477.1	ENSVPAT00000009477.1
ENSVPAG00000002815	ENSVPAG00000002815.1	ENSVPAT00000002818.1
ENSVPAG00000003353	ENSVPAG00000003353.1	ENSVPAT00000003352.1
ENSVPAG00000004509	ENSVPAG00000004509.1	ENSVPAT00000004510.1
ENSVPAG00000006436	ENSVPAG00000006436.1	ENSVPAT00000006435.1
ENSVPAG00000010235	ENSVPAG00000010235.1	ENSVPAT00000010240.1
ENSVPAG00000003680	ENSVPAG00000003680.1	ENSVPAT00000003679.1
ENSVPAG00000006437	ENSVPAG00000006437.1	ENSVPAT00000006436.1
ENSVPAG00000004030	ENSVPAG00000004030.1	ENSVPAT00000004030.1
ENSVPAG00000003681	ENSVPAG00000003681.1	ENSVPAT00000003682.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000010525	ENSVPAG00000010525.1	ENSVPAT00000010525.1
ENSVPAG00000008991	ENSVPAG00000008991.1	ENSVPAT00000008991.1
ENSVPAG00000004382	ENSVPAG00000004382.1	ENSVPAT00000004382.1
ENSVPAG00000008992	ENSVPAG00000008992.1	ENSVPAT00000008992.1
ENSVPAG00000006440	ENSVPAG00000006440.1	ENSVPAT00000006440.1
ENSVPAG00000002878	ENSVPAG00000002878.1	ENSVPAT00000002876.1
ENSVPAG00000004383	ENSVPAG00000004383.1	ENSVPAT00000004383.1
ENSVPAG00000010527	ENSVPAG00000010527.1	ENSVPAT00000010528.1
ENSVPAG00000002880	ENSVPAG00000002880.1	ENSVPAT00000002878.1
ENSVPAG00000006441	ENSVPAG00000006441.1	ENSVPAT00000006441.1
ENSVPAG00000008993	ENSVPAG00000008993.1	ENSVPAT00000008996.1
ENSVPAG00000002882	ENSVPAG00000002882.1	ENSVPAT00000002882.1
ENSVPAG00000005176	ENSVPAG00000005176.1	ENSVPAT00000005176.1
ENSVPAG00000003360	ENSVPAG00000003360.1	ENSVPAT00000003360.1
ENSVPAG00000004384	ENSVPAG00000004384.1	ENSVPAT00000004384.1
ENSVPAG00000002884	ENSVPAG00000002884.1	ENSVPAT00000002883.1
ENSVPAG00000006443	ENSVPAG00000006443.1	ENSVPAT00000006444.1
ENSVPAG00000001876	ENSVPAG00000001876.1	ENSVPAT00000001876.1
ENSVPAG00000008942	ENSVPAG00000008942.1	ENSVPAT00000008942.1
ENSVPAG00000004385	ENSVPAG00000004385.1	ENSVPAT00000004385.1
ENSVPAG00000002615	ENSVPAG00000002615.1	ENSVPAT00000002617.1
ENSVPAG00000003375	ENSVPAG00000003375.1	ENSVPAT00000003375.1
ENSVPAG00000006446	ENSVPAG00000006446.1	ENSVPAT00000006446.1
ENSVPAG00000008571	ENSVPAG00000008571.1	ENSVPAT00000008570.1
ENSVPAG00000008573	ENSVPAG00000008573.1	ENSVPAT00000008572.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000004387	ENSVPAG00000004387.1	ENSVPAT00000004390.1
ENSVPAG00000009000	ENSVPAG00000009000.1	ENSVPAT00000009002.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000004279	ENSVPAG00000004279.1	ENSVPAT00000004279.1
ENSVPAG00000003221	ENSVPAG00000003221.1	ENSVPAT00000003221.1
ENSVPAG00000006956	ENSVPAG00000006956.1	ENSVPAT00000006956.1
ENSVPAG00000005802	ENSVPAG00000005802.1	ENSVPAT00000005801.1
ENSVPAG00000002911	ENSVPAG00000002911.1	ENSVPAT00000002909.1
ENSVPAG00000009005	ENSVPAG00000009005.1	ENSVPAT00000009004.1
ENSVPAG00000010530	ENSVPAG00000010530.1	ENSVPAT00000010529.1
ENSVPAG00000004281	ENSVPAG00000004281.1	ENSVPAT00000004281.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000000169	ENSVPAG00000000169.1	ENSVPAT00000000170.1
ENSVPAG00000002619	ENSVPAG00000002619.1	ENSVPAT00000002619.1
ENSVPAG00000004282	ENSVPAG00000004282.1	ENSVPAT00000004282.1
ENSVPAG00000004283	ENSVPAG00000004283.1	ENSVPAT00000004283.1
ENSVPAG00000004392	ENSVPAG00000004392.1	ENSVPAT00000004392.1
ENSVPAG00000009007	ENSVPAG00000009007.1	ENSVPAT00000009006.1
ENSVPAG00000004284	ENSVPAG00000004284.1	ENSVPAT00000004284.1
ENSVPAG00000005809	ENSVPAG00000005809.1	ENSVPAT00000005807.1
ENSVPAG00000004287	ENSVPAG00000004287.1	ENSVPAT00000004285.1
ENSVPAG00000002999	ENSVPAG00000002999.1	ENSVPAT00000002998.1
ENSVPAG00000010531	ENSVPAG00000010531.1	ENSVPAT00000010531.1
ENSVPAG00000004288	ENSVPAG00000004288.1	ENSVPAT00000004287.1
ENSVPAG00000000171	ENSVPAG00000000171.1	ENSVPAT00000000171.1
ENSVPAG00000002764	ENSVPAG00000002764.1	ENSVPAT00000002764.1
ENSVPAG00000005810	ENSVPAG00000005810.1	ENSVPAT00000005809.1
ENSVPAG00000003758	ENSVPAG00000003758.1	ENSVPAT00000003758.1
ENSVPAG00000004289	ENSVPAG00000004289.1	ENSVPAT00000004289.1
ENSVPAG00000000173	ENSVPAG00000000173.1	ENSVPAT00000000173.1
ENSVPAG00000000331	ENSVPAG00000000331.1	ENSVPAT00000000331.1
ENSVPAG00000005812	ENSVPAG00000005812.1	ENSVPAT00000005817.1
ENSVPAG00000003001	ENSVPAG00000003001.1	ENSVPAT00000003000.1
ENSVPAG00000004117	ENSVPAG00000004117.1	ENSVPAT00000004117.1
